Week,BMX
10/20/2019,28
10/27/2019,26
11/3/2019,28
11/10/2019,25
11/17/2019,27
11/24/2019,28
12/1/2019,26
12/8/2019,26
12/15/2019,24
12/22/2019,26
12/29/2019,22
1/5/2020,23
1/12/2020,23
1/19/2020,21
1/26/2020,22
2/2/2020,22
2/9/2020,23
2/16/2020,23
2/23/2020,23
3/1/2020,24
3/8/2020,24
3/15/2020,22
3/22/2020,23
3/29/2020,25
4/5/2020,28
4/12/2020,30
4/19/2020,32
4/26/2020,35
5/3/2020,36
5/10/2020,37
5/17/2020,39
5/24/2020,40
5/31/2020,41
6/7/2020,42
6/14/2020,43
6/21/2020,42
6/28/2020,42
7/5/2020,41
7/12/2020,40
7/19/2020,42
7/26/2020,41
8/2/2020,39
8/9/2020,37
8/16/2020,40
8/23/2020,38
8/30/2020,38
9/6/2020,41
9/13/2020,38
9/20/2020,39
9/27/2020,38
10/4/2020,36
10/11/2020,36
10/18/2020,34
10/25/2020,34
11/1/2020,29
11/8/2020,32
11/15/2020,32
11/22/2020,32
11/29/2020,31
12/6/2020,31
12/13/2020,28
12/20/2020,27
12/27/2020,26
1/3/2021,23
1/10/2021,24
1/17/2021,23
1/24/2021,24
1/31/2021,24
2/7/2021,22
2/14/2021,24
2/21/2021,25
2/28/2021,26
3/7/2021,27
3/14/2021,26
3/21/2021,28
3/28/2021,31
4/4/2021,33
4/11/2021,29
4/18/2021,29
4/25/2021,30
5/2/2021,29
5/9/2021,29
5/16/2021,29
5/23/2021,29
5/30/2021,29
6/6/2021,28
6/13/2021,27
6/20/2021,31
6/27/2021,27
7/4/2021,28
7/11/2021,27
7/18/2021,31
7/25/2021,91
8/1/2021,62
8/8/2021,32
8/15/2021,28
8/22/2021,29
8/29/2021,27
9/5/2021,27
9/12/2021,26
9/19/2021,26
9/26/2021,26
10/3/2021,24
10/10/2021,24
10/17/2021,24
10/24/2021,21
10/31/2021,23
11/7/2021,23
11/14/2021,23
11/21/2021,23
11/28/2021,21
12/5/2021,21
12/12/2021,20
12/19/2021,20
12/26/2021,19
1/2/2022,18
1/9/2022,19
1/16/2022,17
1/23/2022,18
1/30/2022,18
2/6/2022,19
2/13/2022,20
2/20/2022,18
2/27/2022,19
3/6/2022,20
3/13/2022,21
3/20/2022,21
3/27/2022,21
4/3/2022,21
4/10/2022,22
4/17/2022,24
4/24/2022,23
5/1/2022,23
5/8/2022,22
5/15/2022,22
5/22/2022,23
5/29/2022,22
6/5/2022,23
6/12/2022,24
6/19/2022,24
6/26/2022,23
7/3/2022,23
7/10/2022,24
7/17/2022,23
7/24/2022,25
7/31/2022,24
8/7/2022,24
8/14/2022,23
8/21/2022,23
8/28/2022,22
9/4/2022,22
9/11/2022,23
9/18/2022,22
9/25/2022,21
10/2/2022,21
10/9/2022,20
10/16/2022,19
10/23/2022,20
10/30/2022,20
11/6/2022,19
11/13/2022,19
11/20/2022,19
11/27/2022,18
12/4/2022,17
12/11/2022,16
12/18/2022,16
12/25/2022,16
1/1/2023,16
1/8/2023,15
1/15/2023,15
1/22/2023,15
1/29/2023,15
2/5/2023,15
2/12/2023,15
2/19/2023,16
2/26/2023,16
3/5/2023,15
3/12/2023,18
3/19/2023,18
3/26/2023,17
4/2/2023,19
4/9/2023,19
4/16/2023,20
4/23/2023,20
4/30/2023,21
5/7/2023,21
5/14/2023,21
5/21/2023,21
5/28/2023,22
6/4/2023,28
6/11/2023,23
6/18/2023,23
6/25/2023,23
7/2/2023,24
7/9/2023,22
7/16/2023,20
7/23/2023,21
7/30/2023,21
8/6/2023,24
8/13/2023,23
8/20/2023,20
8/27/2023,20
9/3/2023,21
9/10/2023,20
9/17/2023,20
9/24/2023,19
10/1/2023,20
10/8/2023,20
10/15/2023,18
10/22/2023,18
10/29/2023,17
11/5/2023,18
11/12/2023,17
11/19/2023,18
11/26/2023,17
12/3/2023,16
12/10/2023,16
12/17/2023,16
12/24/2023,15
12/31/2023,15
1/7/2024,14
1/14/2024,14
1/21/2024,14
1/28/2024,15
2/4/2024,15
2/11/2024,15
2/18/2024,16
2/25/2024,17
3/3/2024,16
3/10/2024,17
3/17/2024,18
3/24/2024,19
3/31/2024,19
4/7/2024,20
4/14/2024,19
4/21/2024,20
4/28/2024,20
5/5/2024,18
5/12/2024,22
5/19/2024,20
5/26/2024,21
6/2/2024,22
6/9/2024,20
6/16/2024,20
6/23/2024,20
6/30/2024,19
7/7/2024,20
7/14/2024,20
7/21/2024,23
7/28/2024,100
8/4/2024,30
8/11/2024,25
8/18/2024,21
8/25/2024,21
9/1/2024,21
9/8/2024,20
9/15/2024,21
9/22/2024,20
9/29/2024,20
10/6/2024,18
10/13/2024,18
10/20/2024,18
