Week,Hybrid bicycle
10/20/2019,20
10/27/2019,17
11/3/2019,21
11/10/2019,20
11/17/2019,20
11/24/2019,21
12/1/2019,21
12/8/2019,18
12/15/2019,19
12/22/2019,23
12/29/2019,25
1/5/2020,22
1/12/2020,21
1/19/2020,22
1/26/2020,19
2/2/2020,18
2/9/2020,20
2/16/2020,24
2/23/2020,20
3/1/2020,25
3/8/2020,23
3/15/2020,22
3/22/2020,34
3/29/2020,51
4/5/2020,75
4/12/2020,75
4/19/2020,86
4/26/2020,95
5/3/2020,98
5/10/2020,96
5/17/2020,100
5/24/2020,100
5/31/2020,87
6/7/2020,89
6/14/2020,82
6/21/2020,80
6/28/2020,77
7/5/2020,73
7/12/2020,73
7/19/2020,66
7/26/2020,70
8/2/2020,66
8/9/2020,61
8/16/2020,60
8/23/2020,53
8/30/2020,47
9/6/2020,52
9/13/2020,43
9/20/2020,46
9/27/2020,36
10/4/2020,36
10/11/2020,33
10/18/2020,25
10/25/2020,34
11/1/2020,27
11/8/2020,29
11/15/2020,32
11/22/2020,30
11/29/2020,23
12/6/2020,27
12/13/2020,24
12/20/2020,26
12/27/2020,29
1/3/2021,28
1/10/2021,28
1/17/2021,31
1/24/2021,29
1/31/2021,28
2/7/2021,24
2/14/2021,24
2/21/2021,33
2/28/2021,37
3/7/2021,39
3/14/2021,38
3/21/2021,48
3/28/2021,43
4/4/2021,41
4/11/2021,42
4/18/2021,35
4/25/2021,37
5/2/2021,36
5/9/2021,34
5/16/2021,36
5/23/2021,35
5/30/2021,40
6/6/2021,40
6/13/2021,34
6/20/2021,37
6/27/2021,32
7/4/2021,42
7/11/2021,29
7/18/2021,40
7/25/2021,34
8/1/2021,34
8/8/2021,32
8/15/2021,31
8/22/2021,30
8/29/2021,27
9/5/2021,26
9/12/2021,25
9/19/2021,26
9/26/2021,23
10/3/2021,22
10/10/2021,20
10/17/2021,21
10/24/2021,19
10/31/2021,17
11/7/2021,17
11/14/2021,16
11/21/2021,18
11/28/2021,15
12/5/2021,15
12/12/2021,14
12/19/2021,14
12/26/2021,18
1/2/2022,17
1/9/2022,18
1/16/2022,17
1/23/2022,17
1/30/2022,19
2/6/2022,18
2/13/2022,20
2/20/2022,19
2/27/2022,21
3/6/2022,26
3/13/2022,26
3/20/2022,31
3/27/2022,24
4/3/2022,28
4/10/2022,25
4/17/2022,27
4/24/2022,32
5/1/2022,24
5/8/2022,27
5/15/2022,27
5/22/2022,27
5/29/2022,27
6/5/2022,26
6/12/2022,29
6/19/2022,32
6/26/2022,34
7/3/2022,28
7/10/2022,32
7/17/2022,28
7/24/2022,29
7/31/2022,27
8/7/2022,27
8/14/2022,25
8/21/2022,24
8/28/2022,22
9/4/2022,20
9/11/2022,21
9/18/2022,21
9/25/2022,17
10/2/2022,15
10/9/2022,15
10/16/2022,17
10/23/2022,11
10/30/2022,12
11/6/2022,12
11/13/2022,8
11/20/2022,15
11/27/2022,11
12/4/2022,12
12/11/2022,12
12/18/2022,11
12/25/2022,11
1/1/2023,13
1/8/2023,13
1/15/2023,15
1/22/2023,13
1/29/2023,13
2/5/2023,15
2/12/2023,13
2/19/2023,15
2/26/2023,13
3/5/2023,17
3/12/2023,14
3/19/2023,16
3/26/2023,17
4/2/2023,19
4/9/2023,19
4/16/2023,19
4/23/2023,18
4/30/2023,18
5/7/2023,20
5/14/2023,17
5/21/2023,21
5/28/2023,23
6/4/2023,23
6/11/2023,21
6/18/2023,22
6/25/2023,21
7/2/2023,23
7/9/2023,21
7/16/2023,19
7/23/2023,19
7/30/2023,20
8/6/2023,18
8/13/2023,20
8/20/2023,19
8/27/2023,14
9/3/2023,15
9/10/2023,19
9/17/2023,14
9/24/2023,18
10/1/2023,13
10/8/2023,15
10/15/2023,13
10/22/2023,12
10/29/2023,11
11/5/2023,12
11/12/2023,12
11/19/2023,14
11/26/2023,13
12/3/2023,12
12/10/2023,12
12/17/2023,13
12/24/2023,11
12/31/2023,13
1/7/2024,13
1/14/2024,11
1/21/2024,10
1/28/2024,18
2/4/2024,13
2/11/2024,13
2/18/2024,14
2/25/2024,17
3/3/2024,18
3/10/2024,16
3/17/2024,16
3/24/2024,16
3/31/2024,18
4/7/2024,17
4/14/2024,16
4/21/2024,21
4/28/2024,23
5/5/2024,18
5/12/2024,22
5/19/2024,17
5/26/2024,18
6/2/2024,22
6/9/2024,24
6/16/2024,26
6/23/2024,24
6/30/2024,23
7/7/2024,18
7/14/2024,19
7/21/2024,21
7/28/2024,20
8/4/2024,20
8/11/2024,23
8/18/2024,20
8/25/2024,17
9/1/2024,19
9/8/2024,17
9/15/2024,16
9/22/2024,17
9/29/2024,19
10/6/2024,12
10/13/2024,13
10/20/2024,14
