Week,Road Bicycle
10/20/2019,44
10/27/2019,36
11/3/2019,44
11/10/2019,40
11/17/2019,39
11/24/2019,31
12/1/2019,40
12/8/2019,36
12/15/2019,31
12/22/2019,39
12/29/2019,41
1/5/2020,42
1/12/2020,42
1/19/2020,42
1/26/2020,39
2/2/2020,42
2/9/2020,42
2/16/2020,42
2/23/2020,40
3/1/2020,45
3/8/2020,41
3/15/2020,37
3/22/2020,47
3/29/2020,52
4/5/2020,70
4/12/2020,79
4/19/2020,90
4/26/2020,91
5/3/2020,97
5/10/2020,93
5/17/2020,100
5/24/2020,99
5/31/2020,97
6/7/2020,99
6/14/2020,99
6/21/2020,95
6/28/2020,90
7/5/2020,89
7/12/2020,84
7/19/2020,90
7/26/2020,86
8/2/2020,82
8/9/2020,85
8/16/2020,81
8/23/2020,78
8/30/2020,78
9/6/2020,77
9/13/2020,71
9/20/2020,67
9/27/2020,59
10/4/2020,58
10/11/2020,57
10/18/2020,54
10/25/2020,48
11/1/2020,45
11/8/2020,50
11/15/2020,48
11/22/2020,49
11/29/2020,49
12/6/2020,48
12/13/2020,43
12/20/2020,43
12/27/2020,51
1/3/2021,48
1/10/2021,41
1/17/2021,50
1/24/2021,47
1/31/2021,49
2/7/2021,46
2/14/2021,43
2/21/2021,50
2/28/2021,56
3/7/2021,53
3/14/2021,52
3/21/2021,55
3/28/2021,56
4/4/2021,56
4/11/2021,57
4/18/2021,53
4/25/2021,56
5/2/2021,51
5/9/2021,51
5/16/2021,52
5/23/2021,54
5/30/2021,60
6/6/2021,57
6/13/2021,54
6/20/2021,56
6/27/2021,52
7/4/2021,57
7/11/2021,53
7/18/2021,66
7/25/2021,64
8/1/2021,58
8/8/2021,58
8/15/2021,52
8/22/2021,51
8/29/2021,48
9/5/2021,53
9/12/2021,49
9/19/2021,51
9/26/2021,47
10/3/2021,47
10/10/2021,46
10/17/2021,45
10/24/2021,41
10/31/2021,37
11/7/2021,39
11/14/2021,40
11/21/2021,34
11/28/2021,37
12/5/2021,39
12/12/2021,36
12/19/2021,34
12/26/2021,35
1/2/2022,45
1/9/2022,44
1/16/2022,40
1/23/2022,44
1/30/2022,41
2/6/2022,45
2/13/2022,47
2/20/2022,49
2/27/2022,46
3/6/2022,50
3/13/2022,53
3/20/2022,54
3/27/2022,51
4/3/2022,49
4/10/2022,53
4/17/2022,54
4/24/2022,54
5/1/2022,50
5/8/2022,54
5/15/2022,49
5/22/2022,56
5/29/2022,51
6/5/2022,49
6/12/2022,55
6/19/2022,55
6/26/2022,51
7/3/2022,57
7/10/2022,55
7/17/2022,52
7/24/2022,52
7/31/2022,52
8/7/2022,50
8/14/2022,56
8/21/2022,54
8/28/2022,50
9/4/2022,48
9/11/2022,48
9/18/2022,45
9/25/2022,43
10/2/2022,42
10/9/2022,38
10/16/2022,42
10/23/2022,40
10/30/2022,40
11/6/2022,41
11/13/2022,36
11/20/2022,37
11/27/2022,38
12/4/2022,34
12/11/2022,36
12/18/2022,31
12/25/2022,32
1/1/2023,38
1/8/2023,38
1/15/2023,36
1/22/2023,37
1/29/2023,39
2/5/2023,36
2/12/2023,40
2/19/2023,44
2/26/2023,42
3/5/2023,43
3/12/2023,41
3/19/2023,40
3/26/2023,43
4/2/2023,42
4/9/2023,46
4/16/2023,44
4/23/2023,43
4/30/2023,45
5/7/2023,47
5/14/2023,45
5/21/2023,45
5/28/2023,46
6/4/2023,49
6/11/2023,47
6/18/2023,47
6/25/2023,50
7/2/2023,48
7/9/2023,53
7/16/2023,48
7/23/2023,49
7/30/2023,46
8/6/2023,49
8/13/2023,48
8/20/2023,46
8/27/2023,44
9/3/2023,48
9/10/2023,44
9/17/2023,44
9/24/2023,42
10/1/2023,42
10/8/2023,40
10/15/2023,41
10/22/2023,39
10/29/2023,35
11/5/2023,38
11/12/2023,36
11/19/2023,35
11/26/2023,40
12/3/2023,33
12/10/2023,35
12/17/2023,34
12/24/2023,29
12/31/2023,37
1/7/2024,34
1/14/2024,33
1/21/2024,35
1/28/2024,41
2/4/2024,42
2/11/2024,40
2/18/2024,43
2/25/2024,46
3/3/2024,47
3/10/2024,43
3/17/2024,48
3/24/2024,51
3/31/2024,45
4/7/2024,45
4/14/2024,49
4/21/2024,51
4/28/2024,49
5/5/2024,53
5/12/2024,52
5/19/2024,51
5/26/2024,49
6/2/2024,52
6/9/2024,50
6/16/2024,52
6/23/2024,49
6/30/2024,52
7/7/2024,54
7/14/2024,52
7/21/2024,57
7/28/2024,60
8/4/2024,60
8/11/2024,61
8/18/2024,55
8/25/2024,52
9/1/2024,53
9/8/2024,49
9/15/2024,50
9/22/2024,48
9/29/2024,44
10/6/2024,43
10/13/2024,44
10/20/2024,44
